,Compound,Date,Negative,Neutral,Positive,Source,Text,Tweets Ago
21,0.4019,Mon Nov 27 18:32:06 +0000 2017,0.803,0.0,0.197,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Singer-songwriter @JoshGroban will headline the #Home4Holidays adoption special along with @kelly_clarkson,… https://t.co/EgzxIsLhjv",22
22,0.1867,Mon Nov 27 12:01:03 +0000 2017,0.916,0.0,0.084,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Tomorrow, don't miss @Harry_Styles perform alongside the Angels at the #VSFashionShow! Tune in at 10/9c on CBS &amp; CB… https://t.co/a0fxt0rqUf",23
23,-0.2263,Mon Nov 27 00:53:16 +0000 2017,0.909,0.091,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Due to #NFL football overrun #CBS is delayed in east &amp; central time zones. New start times #60minutes 7:46ET/6:46CT… https://t.co/tA6gF7rkGX,24
24,0.4559,Mon Nov 27 00:16:34 +0000 2017,0.858,0.0,0.142,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @RecordingAcad: Two days left 'til #GRAMMYs nominations! ? Are you excited? 

RT if you're counting down with us! ? https://t.co/11tdE0k…",25
25,0.8553,Mon Nov 27 00:15:41 +0000 2017,0.63,0.0,0.37,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Spread some holiday cheer with the heartwarming Christmas classic, The Story of Santa Claus! Watch the full special… https://t.co/3TQ6qjpzK6",26
26,0.5093,Sun Nov 26 23:17:42 +0000 2017,0.82,0.0,0.18,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Glimpse the Angels' breathtaking ensembles before the Victoria's Secret Fashion Show! Watch the #VSFashionShow Tues… https://t.co/OaDQQZsoHW,27
27,0.3612,Sun Nov 26 21:01:23 +0000 2017,0.872,0.0,0.128,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","In 2 days, supermodels like @BellaHadid will strut the runway in Shanghai at the 2017 #VSFashionShow, Tues @ 10/9c… https://t.co/Bx7ou8GgSc",28
28,0.0,Sun Nov 26 15:00:05 +0000 2017,1.0,0.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Uh, look out! Bruno Mars: 24K Magic Live at the Apollo airs Wednesday at 10/9c on CBS and CBS All Access! https://t.co/l4slX4oNou",29
29,0.8591,Sun Nov 26 12:00:01 +0000 2017,0.642,0.0,0.358,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","In one week, celebrate with Carol Burnett &amp; friends with The Carol Burnett 50th Anniversary Special, Sunday, Dec. 3… https://t.co/mlZQYYYGik",30
30,-0.5719,Sun Nov 26 05:26:40 +0000 2017,0.802,0.198,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",'Robbie the Reindeer: Hooves of Fire' &amp; 'Robbie the Reindeer: Legend of the Lost Tribe' features the voices of Ben… https://t.co/5fVvEgbUen,31
