,Compound,Date,Negative,Neutral,Positive,Source,Text,Tweets Ago
35,0.0,Mon Nov 27 17:50:07 +0000 2017,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",What Meghan Markle tells us about the modern British monarchy https://t.co/vqwCx6ic24 https://t.co/ms0Du3fqKJ,36
36,-0.9169,Mon Nov 27 17:40:07 +0000 2017,0.615,0.385,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Her father died of cancer in 2013. But before his death, he prepaid a flower shop to deliver flowers and a card to… https://t.co/4IU6Nm5fg0",37
37,0.0,Mon Nov 27 17:29:08 +0000 2017,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",How much does a royal wedding cost? (Spoiler: It's a lot.) https://t.co/TU8lAeN7kA https://t.co/nZBzTWQkKG,38
38,0.4939,Mon Nov 27 17:17:30 +0000 2017,0.688,0.087,0.225,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Dodging taxes isn't the only reason the rich stash cash offshore https://t.co/FvzSxKAEsj https://t.co/izGr1oVW41,39
39,-0.5707,Mon Nov 27 17:05:05 +0000 2017,0.779,0.221,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",President Trump's latest conspiracy? 'The 'Access Hollywood' tape was a fake!' | Analysis by @CillizzaCNN… https://t.co/8mh637AYfn,40
40,0.0,Mon Nov 27 19:40:02 +0000 2017,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Bill Gates has a new mission: To find a cure for Alzheimer's https://t.co/Ip7ountOz5 https://t.co/c8GnxNsTZ2,41
41,-0.1027,Mon Nov 27 19:30:16 +0000 2017,0.928,0.072,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",President Trump has questioned the authenticity of the infamous “Access Hollywood” tape in which he bragged about b… https://t.co/eQIwjjduqI,42
42,0.6369,Mon Nov 27 19:20:13 +0000 2017,0.756,0.0,0.244,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Why Harry and Meghan will be the best royal couple | via @CNNopinion https://t.co/AmFhhY0tSv https://t.co/MJ7eBi4JCD,43
43,-0.0258,Mon Nov 27 19:09:04 +0000 2017,0.598,0.205,0.197,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Black Friday was huge for gun sales https://t.co/6Pd5h1unwi https://t.co/kVcDENUMJ6,44
44,-0.3612,Mon Nov 27 18:57:04 +0000 2017,0.524,0.304,0.173,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","US charges 3 Chinese nationals with hacking, stealing intellectual property from companies https://t.co/UF4pWiNalU https://t.co/Tq07txTyVD",45
45,0.128,Mon Nov 27 18:47:38 +0000 2017,0.93,0.0,0.07,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Breitbart editor cites Ringo Starr's hit cover of the song ""You're Sixteen"" in defense of Roy Moore who is accused… https://t.co/uToa9QXKm4",46
46,0.0,Mon Nov 27 18:35:58 +0000 2017,1.0,0.0,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @CNNPolitics: Sen. Al Franken says he ""cannot speculate"" over whether more women will come forward with allegations against him https://…",47
47,-0.5106,Mon Nov 27 18:35:16 +0000 2017,0.845,0.155,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Prince Harry thinks Princess Diana and Meghan Markle would have been ""thick as thieves, without question. I think s… https://t.co/jGT3UT2kiS",48
48,-0.3818,Mon Nov 27 18:32:48 +0000 2017,0.867,0.133,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Sen. Al Franken on groping allegations: “This has been a shock and it’s been extremely humbling. I am embarrassed.… https://t.co/hvgoE4cI3L,49
49,-0.2263,Mon Nov 27 18:26:55 +0000 2017,0.863,0.086,0.051,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Sen. Al Franken: “I just want to again say, ‘I am sorry.’ I know there are no magic words that I can say to regain… https://t.co/MRWocH3AwX",50
50,-0.3182,Mon Nov 27 18:20:19 +0000 2017,0.887,0.113,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Sen. Al Franken is addressing reporters in the wake of accusations that he groped multiple women.

Live updates:… https://t.co/S5NcFj4IeP",51
51,-0.6597,Mon Nov 27 18:20:05 +0000 2017,0.62,0.281,0.099,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","""Such an outrageous assault on truth"": Former CIA and National Security Agency Director Michael Hayden blasts Presi… https://t.co/ihPAlh88Ul",52
52,0.0,Mon Nov 27 18:12:32 +0000 2017,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",JUST IN: Meghan Markle tells the story of how Prince Harry proposed https://t.co/T3WS8YzVoK https://t.co/Fgh0zLzTgX,53
53,-0.5423,Mon Nov 27 18:10:07 +0000 2017,0.774,0.226,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Nancy Pelosi's catastrophically bad answer on John Conyers | Analysis by @CillizzaCNN https://t.co/WSGP36x8md https://t.co/wjdMnkAr88,54
54,-0.0572,Mon Nov 27 18:00:14 +0000 2017,0.9,0.1,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",A Maine police department doesn't want you telling officers these things https://t.co/iO8FT9HaTi https://t.co/D1HttKX4O7,55
55,0.0,Mon Nov 27 17:50:07 +0000 2017,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",What Meghan Markle tells us about the modern British monarchy https://t.co/vqwCx6ic24 https://t.co/ms0Du3fqKJ,56
56,-0.9169,Mon Nov 27 17:40:07 +0000 2017,0.615,0.385,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Her father died of cancer in 2013. But before his death, he prepaid a flower shop to deliver flowers and a card to… https://t.co/4IU6Nm5fg0",57
57,0.0,Mon Nov 27 17:29:08 +0000 2017,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",How much does a royal wedding cost? (Spoiler: It's a lot.) https://t.co/TU8lAeN7kA https://t.co/nZBzTWQkKG,58
58,0.4939,Mon Nov 27 17:17:30 +0000 2017,0.688,0.087,0.225,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Dodging taxes isn't the only reason the rich stash cash offshore https://t.co/FvzSxKAEsj https://t.co/izGr1oVW41,59
59,-0.5707,Mon Nov 27 17:05:05 +0000 2017,0.779,0.221,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",President Trump's latest conspiracy? 'The 'Access Hollywood' tape was a fake!' | Analysis by @CillizzaCNN… https://t.co/8mh637AYfn,60
60,0.0,Mon Nov 27 19:40:02 +0000 2017,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Bill Gates has a new mission: To find a cure for Alzheimer's https://t.co/Ip7ountOz5 https://t.co/c8GnxNsTZ2,61
61,-0.1027,Mon Nov 27 19:30:16 +0000 2017,0.928,0.072,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",President Trump has questioned the authenticity of the infamous “Access Hollywood” tape in which he bragged about b… https://t.co/eQIwjjduqI,62
62,0.6369,Mon Nov 27 19:20:13 +0000 2017,0.756,0.0,0.244,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Why Harry and Meghan will be the best royal couple | via @CNNopinion https://t.co/AmFhhY0tSv https://t.co/MJ7eBi4JCD,63
63,-0.0258,Mon Nov 27 19:09:04 +0000 2017,0.598,0.205,0.197,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Black Friday was huge for gun sales https://t.co/6Pd5h1unwi https://t.co/kVcDENUMJ6,64
64,-0.3612,Mon Nov 27 18:57:04 +0000 2017,0.524,0.304,0.173,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","US charges 3 Chinese nationals with hacking, stealing intellectual property from companies https://t.co/UF4pWiNalU https://t.co/Tq07txTyVD",65
65,0.128,Mon Nov 27 18:47:38 +0000 2017,0.93,0.0,0.07,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Breitbart editor cites Ringo Starr's hit cover of the song ""You're Sixteen"" in defense of Roy Moore who is accused… https://t.co/uToa9QXKm4",66
66,0.0,Mon Nov 27 18:35:58 +0000 2017,1.0,0.0,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @CNNPolitics: Sen. Al Franken says he ""cannot speculate"" over whether more women will come forward with allegations against him https://…",67
67,-0.5106,Mon Nov 27 18:35:16 +0000 2017,0.845,0.155,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Prince Harry thinks Princess Diana and Meghan Markle would have been ""thick as thieves, without question. I think s… https://t.co/jGT3UT2kiS",68
68,-0.3818,Mon Nov 27 18:32:48 +0000 2017,0.867,0.133,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Sen. Al Franken on groping allegations: “This has been a shock and it’s been extremely humbling. I am embarrassed.… https://t.co/hvgoE4cI3L,69
69,-0.2263,Mon Nov 27 18:26:55 +0000 2017,0.863,0.086,0.051,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Sen. Al Franken: “I just want to again say, ‘I am sorry.’ I know there are no magic words that I can say to regain… https://t.co/MRWocH3AwX",70
70,-0.3182,Mon Nov 27 18:20:19 +0000 2017,0.887,0.113,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Sen. Al Franken is addressing reporters in the wake of accusations that he groped multiple women.

Live updates:… https://t.co/S5NcFj4IeP",71
71,-0.6597,Mon Nov 27 18:20:05 +0000 2017,0.62,0.281,0.099,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","""Such an outrageous assault on truth"": Former CIA and National Security Agency Director Michael Hayden blasts Presi… https://t.co/ihPAlh88Ul",72
72,0.0,Mon Nov 27 18:12:32 +0000 2017,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",JUST IN: Meghan Markle tells the story of how Prince Harry proposed https://t.co/T3WS8YzVoK https://t.co/Fgh0zLzTgX,73
